Flow_Time*,Flow
0,1.594543646
1,1.618284176
2,1.602581763
3,1.585027261
4,1.603311044
5,1.590087168
6,1.604688452
7,1.595807876
8,1.579544555
9,1.59465753
10,1.588654522
11,1.576340391
12,1.579725185
13,1.585933178
14,1.592824122
15,1.567515297
16,1.609766908
17,1.582210102
18,1.601253367
19,1.576535821
20,1.61204546
21,1.603790457
22,1.625252023
23,1.599969832
24,1.61014757
25,1.584633537
26,1.603183874
27,1.599254242
28,1.594632368
29,1.577149604
30,1.614656268
31,1.599422088
32,1.583708205
33,1.583781355
34,1.578613475
35,1.566603454
36,1.590652253
37,1.586453369
38,1.583228973
39,1.562676654
40,1.577073179
41,1.577385403
42,1.58697259
43,1.55898084
44,1.573574633
45,1.602244778
46,1.592776557
47,1.57831244
48,1.589427751
49,1.610265044
50,1.611404219
51,1.557166631
52,1.586863735
53,1.586260714
54,1.616658721
55,1.585525911
56,1.588498127
57,1.593091066
58,1.603731519
59,1.610456821
60,1.616054608
61,1.59116236
62,1.574326794
63,1.575102931
64,1.589701455
65,1.569307543
66,1.580695312
67,1.557155266
68,1.619815879
69,1.583772211
70,1.587720551
71,1.547602053
72,1.596533659
73,1.573528211
74,1.580415596
75,1.57374874
76,1.594026076
77,1.59111885
78,1.580644566
79,1.573935787
80,1.60080216
81,1.59083675
82,1.595915308
83,1.588647951
84,1.591081934
85,1.565191107
86,1.587996293
87,1.582995339
88,1.597055515
89,1.588707099
90,1.611118937
91,1.581594979
92,1.597565751
93,1.583055372
94,1.612473238
95,1.589444855
96,1.587616844
97,1.547282805
98,1.55606626
99,1.563739279
100,1.57785462
101,1.550591406
102,1.58240699
103,1.585299451
104,1.569843834
105,1.585753745
106,1.580760377
107,1.56717499
108,1.577375037
109,1.576271808
110,1.597723937
111,1.593892436
112,1.589109427
113,1.589668553
114,1.603158443
115,1.581451693
116,1.612320241
117,1.596181963
118,1.590517861
119,1.610308257
120,1.604652245
121,1.592611423
122,1.602793119
123,1.595473733
124,1.601948027
125,1.605100258
126,1.603269545
127,1.591730849
128,1.6218202
129,1.595436615
130,1.606785898
131,1.579913655
132,1.579408136
133,1.558877057
134,1.601763616
135,1.598850755
136,1.596334566
137,1.574467501
138,1.596527021
139,1.571713452
140,1.585882094
141,1.567322098
142,1.567357919
143,1.587563027
144,1.5872074
145,1.588747849
146,1.619015537
147,1.576565592
148,1.595602335
149,1.573334815
150,1.610763488
151,1.596339875
152,1.614078071
